test,result,date,time
buy a case (wills) as customer,successful,2023-10-21,10:31:33
buy a case (wills) as customer,successful,2023-10-21,10:37:53
buy a case (wills) as customer,successful,2023-10-21,10:46:46
buy a case (wills) as customer,successful,2023-10-21,11:01:49
buy a case (wills) as customer,successful,2023-10-21,11:08:13
buy a case (wills) as customer,successful,2023-10-21,11:15:51
buy a case (wills) as customer,successful,2023-10-21,12:57:33
buy a case (wills) as customer,successful,2023-10-21,13:16:28
customer case preview,failed,2023-10-22,07:41:14
buy a case (wills) as customer,failed,2023-10-22,07:42:53
customer case preview,failed,2023-10-22,07:42:55
